Iteration	Posterior	Likelihood	Prior	rate_log_sd	tree_length
0	-2512.649	-2733.977	221.328	1.266823	5.342036
6	-2518.517	-2741.996	223.4785	1.315055	4.111793
12	-2519.665	-2743.005	223.3404	1.564064	4.048625
18	-2512.395	-2735.588	223.1926	1.363022	4.246936
24	-2504.045	-2727.165	223.1205	1.435138	4.246936
30	-2508.97	-2732.231	223.2605	1.295095	4.246936
36	-2514.09	-2735.634	221.5439	1.276773	5.217325
42	-2508.164	-2732.094	223.9305	1.468103	3.765252
48	-2510.78	-2734.287	223.5073	1.500165	3.989809
54	-2509.454	-2733.638	224.184	1.534258	3.580214
60	-2529.588	-2753.808	224.2197	1.300757	3.694899
66	-2531.961	-2755.591	223.6299	1.08609	4.155935
72	-2525.03	-2748.706	223.676	1.26402	4.02829
78	-2517.721	-2740.083	222.3626	1.43009	4.676576
84	-2518.291	-2742.621	224.33	1.362161	3.595401
90	-2517.573	-2742.906	225.3327	1.531861	2.902078
96	-2513.186	-2737.917	224.7305	1.356899	3.36463
102	-2513.108	-2737.065	223.9567	1.443889	3.764086
108	-2530.447	-2754.493	224.0467	1.543807	3.654373
114	-2528.097	-2753.448	225.351	1.563596	2.871808
120	-2534.507	-2759.899	225.3915	1.600975	2.824571
126	-2531.755	-2755.956	224.201	1.630481	3.514346
132	-2530.553	-2756.264	225.7119	1.654038	2.595584
138	-2530.096	-2755.249	225.1534	1.421446	3.076037
144	-2526.481	-2750.684	224.2033	1.247049	3.735406
150	-2515.769	-2739.681	223.9118	1.538543	3.735406
156	-2515.415	-2740.198	224.7835	1.480753	3.260445
162	-2510.928	-2735.495	224.5666	1.480753	3.388137
168	-2519.194	-2744.062	224.8678	1.377593	3.271593
174	-2514.225	-2739.535	225.3106	1.584362	2.883677
180	-2514.494	-2739.552	225.0581	1.547111	3.057936
186	-2516.377	-2740.756	224.3796	1.446636	3.517374
192	-2523.911	-2748.167	224.2555	1.495081	3.561418
198	-2520.009	-2745.59	225.5807	1.530377	2.752337
204	-2519.831	-2745.173	225.342	1.52677	2.899511
210	-2507.366	-2730.703	223.3367	1.171398	4.273881
216	-2511.448	-2735.479	224.0309	1.236004	3.841057
222	-2522.415	-2745.039	222.6237	1.392468	4.551272
228	-2509.659	-2734.241	224.5821	1.344147	3.459019
234	-2513.089	-2736.965	223.8758	1.28094	3.904314
240	-2510.008	-2733.274	223.2667	1.260263	4.263155
246	-2505.445	-2729.277	223.8319	1.28946	3.924626
252	-2518.522	-2742.354	223.8329	1.28846	3.924626
258	-2510.988	-2733.078	222.0904	1.156181	4.981208
264	-2498.918	-2721.898	222.9803	1.164737	4.478816
270	-2502.286	-2724.044	221.7578	1.16594	5.160296
276	-2509.343	-2730.919	221.5768	1.318233	5.176145
282	-2515	-2737.266	222.266	1.393475	4.751099
288	-2529.776	-2752.322	222.5465	1.325437	4.632177
294	-2525.811	-2748.668	222.8563	1.268299	4.490313
300	-2529.506	-2751.948	222.442	1.268299	4.722698
306	-2517.98	-2740.146	222.166	1.109808	4.964945
312	-2527.12	-2749.842	222.722	1.115134	4.651716
318	-2524.281	-2747.263	222.9819	1.195642	4.460537
324	-2525.743	-2750.061	224.3177	1.248987	3.668171
330	-2530.65	-2754.349	223.6997	1.241934	4.027365
336	-2522.634	-2746.181	223.547	1.394638	4.027365
342	-2527.389	-2751.706	224.3164	1.369678	3.598925
348	-2529.605	-2753.833	224.2283	1.358257	3.65664
354	-2532.144	-2756.633	224.4896	1.341159	3.514735
360	-2535.17	-2759.727	224.5567	1.385843	3.449514
366	-2538.457	-2762.156	223.6985	1.354406	3.963809
372	-2535.219	-2759.04	223.8217	1.30436	3.921891
378	-2536.537	-2760.342	223.8053	1.320814	3.921891
384	-2538.931	-2762.713	223.7827	1.402087	3.888248
390	-2530.741	-2753.859	223.1181	1.360147	4.290742
396	-2521.207	-2744.49	223.2831	1.195134	4.290742
402	-2520.206	-2742.511	222.3049	1.195134	4.840084
408	-2510.725	-2734.8	224.0745	1.308903	3.774036
414	-2521.628	-2745.475	223.8467	1.38106	3.863585
420	-2538.085	-2762.091	224.0058	1.41204	3.754154
426	-2543.464	-2767.571	224.1069	1.446782	3.675677
432	-2538.96	-2762.275	223.3142	1.292334	4.218052
438	-2540.65	-2764.11	223.4595	1.247553	4.160978
444	-2534.095	-2757.596	223.5005	1.257858	4.131822
450	-2518.134	-2741.201	223.0678	1.307636	4.348896
456	-2517.933	-2742.356	224.4237	1.505454	3.457327
462	-2518.072	-2743.225	225.1528	1.341708	3.123962
