Iteration	Posterior	Likelihood	Prior	rate_log_sd	tree_length
0	-7341.369	-7570.315	228.9462	0.9623363	0.4722615
6	-4860.898	-5084.598	223.7	2.394658	3.360326
12	-5027.56	-5254.771	227.2109	2.394658	0.9977845
18	-6706.327	-6934.645	228.3178	1.553193	0.3728575
24	-6059.383	-6287.202	227.819	1.135304	1.540608
30	-7578.269	-7807.427	229.1575	0.7398561	0.5843168
36	-6356.069	-6584.579	228.5098	1.095687	0.9978074
42	-5697.581	-5925.493	227.9123	1.693195	0.9978074
48	-6296.789	-6525.005	228.2164	1.693195	0.5170328
54	-5896.348	-6124.371	228.0225	1.347073	1.213662
60	-5919.51	-6147.875	228.365	1.398208	0.822088
66	-5661.303	-5889.125	227.8217	1.398208	1.336879
72	-5993.762	-6221.93	228.1681	1.398208	1.03631
78	-4791.211	-5018.036	226.8258	3.054938	0.6311751
84	-8107.438	-8336.938	229.5001	0.06835704	1.034282
90	-6427.014	-6655.386	228.372	1.196415	1.034282
96	-5677.979	-5905.736	227.7571	1.811315	1.034282
102	-5654.311	-5882.07	227.7588	1.826376	1.01793
108	-6554.082	-6782.576	228.4939	1.185844	0.9202108
114	-6159.499	-6387.521	228.0226	1.886512	0.4777738
120	-6822.101	-7049.967	227.8663	0.19703	2.153518
126	-4926.1	-5152.476	226.3762	2.301488	1.739632
132	-9156.828	-9386.487	229.6585	0.2213718	0.3868253
138	-6596.333	-6822.404	226.0708	0.2230161	3.242996
144	-5829.688	-6056.48	226.7923	0.8526909	2.421328
150	-7040.218	-7269.066	228.8476	1.054193	0.567275
156	-6670.643	-6899.356	228.7126	1.054193	0.817562
162	-7454.424	-7683.609	229.1857	0.6010393	0.7911497
168	-6450.395	-6678.537	228.1424	0.5784163	1.709256
174	-7720.116	-7949.4	229.2835	0.5784163	0.6717635
180	-6652.43	-6881.087	228.6573	1.246566	0.5581334
186	-4797.399	-5020.525	223.1267	2.306268	3.745456
192	-8263.136	-8492.662	229.5262	0.3823364	0.529341
198	-4866.241	-5091.881	225.6405	1.915714	2.477091
204	-7203.252	-7432.329	229.077	0.3654988	1.150491
210	-4917.835	-5143.67	225.8352	2.826418	1.750872
216	-8507.069	-8736.384	229.3153	0.5805653	0.4202399
222	-9232.66	-9462.272	229.6118	0.198423	0.3084744
228	-4800.259	-5027.148	226.8893	2.917805	0.7625609
234	-4891.596	-5117.797	226.2011	1.835375	2.17103
240	-5477.465	-5704.327	226.8628	1.359015	2.049544
246	-7832.141	-8061.188	229.0469	0.841251	0.4022407
252	-7360.733	-7589.733	229.0007	0.841251	0.7080956
258	-7441.334	-7670.515	229.1817	0.6580849	0.7117558
264	-5546.927	-5775.008	228.0811	1.445896	1.073736
270	-6303.022	-6531.474	228.4524	1.445896	0.5808188
276	-6311.169	-6537.819	226.6501	0.392237	2.794278
282	-6935.684	-7164.347	228.6629	1.247231	0.497208
288	-4747.424	-4971.729	224.3053	2.75134	2.785573
294	-4752.584	-4979.591	227.0071	2.75134	0.8281781
300	-4860.004	-5086.523	226.5189	2.252006	1.673717
306	-6930.059	-7158.542	228.4833	0.2875958	1.673717
312	-9378.665	-9608.086	229.4213	0.3895197	0.308961
318	-4809.312	-5034.896	225.5842	4.066978	0.9508945
324	-10510.06	-10738.53	228.4736	0.4920283	0.08473513
330	-5495.499	-5723.296	227.7971	2.105377	0.5645456
336	-6070.519	-6298.79	228.2709	1.631614	0.5645456
342	-9465.98	-9695.527	229.5468	0.2282725	0.2830356
348	-6656.603	-6884.557	227.9542	1.820822	0.2830356
354	-7881.836	-8110.606	228.7701	1.095128	0.3646848
360	-7168.154	-7396.11	227.9555	1.759524	0.2490238
366	-6732.202	-6960.387	228.1847	1.70646	0.4088303
372	-8364.421	-8593.824	229.403	0.4845809	0.613967
378	-8267.896	-8497.283	229.387	0.5005735	0.613967
384	-5490.557	-5717.858	227.3009	2.591489	0.411541
390	-5244.762	-5471.9	227.1381	2.591489	0.8634369
396	-7348.993	-7575.221	226.2286	2.591489	0.07131979
402	-8844.777	-9074.356	229.5788	0.3259606	0.4496898
408	-6647.542	-6875.841	228.2986	0.7586678	1.463407
414	-4931.945	-5155.207	223.2628	6.507239	0.813251
420	-4904.801	-5128.201	223.4005	6.507239	0.4661694
426	-8276.442	-8505.803	229.3605	0.5472361	0.4661694
432	-5142.08	-5369.302	227.222	2.630677	0.3490426
438	-7339.019	-7568.25	229.2316	0.6440369	0.6431507
444	-7927.351	-8156.902	229.5509	0.09338946	0.958078
450	-5355.766	-5581.463	225.6964	1.236333	2.86085
456	-7977.653	-8207.163	229.5099	0.2957262	0.7646358
462	-5174.336	-5401.103	226.7674	1.522691	2.004262
468	-6941.589	-7170.668	229.0782	0.099121	1.370583
474	-6698.266	-6927.306	229.04	0.2969648	1.241252
480	-4679.046	-4905.781	226.735	3.061978	0.7769542
486	-7128.815	-7357.903	229.0878	0.3657845	1.140642
492	-6764.496	-6992.866	228.3706	1.52312	0.4147894
498	-5296.272	-5522.972	226.7004	1.52312	2.048411
504	-5219.327	-5446.281	226.9548	1.52312	1.877718
510	-8555.486	-8785.172	229.6857	0.04807565	0.858486
516	-7739.814	-7969.383	229.5689	0.03022581	1.004209
522	-6404.906	-6632.548	227.6421	0.7680099	1.923737
528	-8439.057	-8668.477	229.4196	0.001305251	1.169468
534	-5432.555	-5659.802	227.2476	1.718256	1.532003
540	-6364.557	-6593.014	228.4571	1.338884	0.7784392
546	-5813.152	-6041.307	228.1551	1.338884	1.104256
552	-7376.208	-7605.017	228.8089	1.077718	0.3992871
